img,model,level,bpp,psnr,ms_ssim,enc_time,dec_time
kodim04.png:Zone.Identifier,bmshj2018_factorized,1,0.09326171875,29.07525398582238,0.9026534557342529,0.7847907543182373,0.17400264739990234
kodim04.png:Zone.Identifier,bmshj2018_factorized,2,0.13916015625,30.07496153953628,0.9280527830123901,0.015595674514770508,0.014265298843383789
kodim04.png:Zone.Identifier,bmshj2018_factorized,3,0.2138671875,31.171412678099287,0.9486436247825623,0.011782407760620117,0.017617225646972656
kodim04.png:Zone.Identifier,bmshj2018_factorized,4,0.33447265625,32.375784202537275,0.9642650485038757,0.011424064636230469,0.016480445861816406
kodim04.png:Zone.Identifier,bmshj2018_factorized,5,0.51904296875,33.83888507684571,0.9772919416427612,0.015891551971435547,0.020576953887939453
kodim04.png:Zone.Identifier,bmshj2018_factorized,6,0.81591796875,35.95545914200222,0.9861360788345337,0.05281996726989746,0.03366732597351074
kodim04.png:Zone.Identifier,mbt2018_mean,1,0.0732421875,28.983753927350246,0.8967244029045105,0.07846403121948242,0.026494979858398438
kodim04.png:Zone.Identifier,mbt2018_mean,2,0.11865234375,30.22160943014237,0.9290052652359009,0.029224395751953125,0.03792214393615723
kodim04.png:Zone.Identifier,mbt2018_mean,3,0.1923828125,31.549967830693696,0.9502938985824585,0.03768754005432129,0.036557674407958984
kodim04.png:Zone.Identifier,mbt2018_mean,4,0.3154296875,33.056259633822606,0.9679505228996277,0.0326995849609375,0.039544105529785156
kodim04.png:Zone.Identifier,mbt2018_mean,5,0.50244140625,34.905267879566665,0.9794978499412537,0.2542612552642822,0.06144070625305176
kodim04.png:Zone.Identifier,mbt2018_mean,6,0.7568359375,36.89745309417194,0.9872220754623413,0.07274341583251953,0.03958272933959961
kodim04.png:Zone.Identifier,cheng2020_attn,1,0.06201171875,29.284015051418354,0.9020838737487793,3.052107572555542,3.510864734649658
kodim04.png:Zone.Identifier,cheng2020_attn,2,0.09765625,30.265998082639264,0.9289438128471375,2.814119815826416,3.3172943592071533
kodim04.png:Zone.Identifier,cheng2020_attn,3,0.16455078125,31.636230538491418,0.9527831077575684,3.417945623397827,4.492917776107788
kodim04.png:Zone.Identifier,cheng2020_attn,4,0.2958984375,33.34078414768037,0.9690546989440918,3.7596967220306396,4.422807931900024
kodim04.png:Zone.Identifier,cheng2020_attn,5,0.45458984375,35.057152360893596,0.9801157712936401,3.4579739570617676,4.321764707565308
kodim04.png:Zone.Identifier,cheng2020_attn,6,0.68603515625,36.954193085257614,0.987605094909668,3.594787836074829,4.434154033660889
kodim04.png:Zone.Identifier,bmshj2018_hyperprior,1,0.08056640625,28.89248086824511,0.8982438445091248,0.040184974670410156,0.039414405822753906
kodim04.png:Zone.Identifier,bmshj2018_hyperprior,2,0.1318359375,30.095192132310377,0.9274080991744995,0.02720785140991211,0.028698444366455078
kodim04.png:Zone.Identifier,bmshj2018_hyperprior,3,0.20361328125,31.46071099987445,0.9506500959396362,0.02548813819885254,0.027378320693969727
kodim04.png:Zone.Identifier,bmshj2018_hyperprior,4,0.333984375,32.97675562594989,0.9669777154922485,0.02489161491394043,0.02607870101928711
kodim04.png:Zone.Identifier,bmshj2018_hyperprior,5,0.53173828125,34.72895799457663,0.9799171686172485,0.02731776237487793,0.03426504135131836
kodim04.png:Zone.Identifier,bmshj2018_hyperprior,6,0.7998046875,36.93166671447322,0.9877862334251404,0.040296316146850586,0.03256416320800781
kodim04.png:Zone.Identifier,mbt2018,1,0.06396484375,29.31634129832436,0.9002779722213745,3.1945180892944336,4.936382293701172
kodim04.png:Zone.Identifier,mbt2018,2,0.10888671875,,,2.4860780239105225,3.4545607566833496
kodim04.png:Zone.Identifier,mbt2018,3,0.1767578125,31.676650674699516,0.9518102407455444,3.573605537414551,3.352816343307495
kodim04.png:Zone.Identifier,mbt2018,4,0.29638671875,33.138004036628274,0.9678289294242859,3.023064613342285,4.0356605052948
kodim04.png:Zone.Identifier,mbt2018,5,0.4853515625,34.972575125285516,0.9790557622909546,3.294658660888672,3.8591418266296387
kodim04.png:Zone.Identifier,mbt2018,6,0.7353515625,,,3.5599558353424072,4.323634386062622
kodim04.png:Zone.Identifier,cheng2020_anchor,1,0.064453125,29.319443340015606,0.9008249044418335,3.0355472564697266,3.786651611328125
kodim04.png:Zone.Identifier,cheng2020_anchor,2,0.10302734375,30.449937810826665,0.9298151731491089,3.27012038230896,3.4531545639038086
kodim04.png:Zone.Identifier,cheng2020_anchor,3,0.16748046875,31.72777653359678,0.9523376226425171,3.2068381309509277,4.4964869022369385
kodim04.png:Zone.Identifier,cheng2020_anchor,4,0.28857421875,33.36337060634652,0.9690514802932739,2.7029807567596436,3.8594846725463867
kodim04.png:Zone.Identifier,cheng2020_anchor,5,0.4609375,35.1943814623262,0.9803558588027954,3.4565348625183105,3.8261165618896484
kodim04.png:Zone.Identifier,cheng2020_anchor,6,0.68603515625,37.06902642660165,0.987658679485321,3.8859307765960693,3.436079978942871
